Date,Segment,Amount,NPLRatio
2017-01-01,FinanceCompanies,,
2017-02-01,FinanceCompanies,,
2017-03-01,FinanceCompanies,,
2017-04-01,FinanceCompanies,,
2017-05-01,FinanceCompanies,,
2017-06-01,FinanceCompanies,,
2017-07-01,FinanceCompanies,,
2017-08-01,FinanceCompanies,,
2017-09-01,FinanceCompanies,,
2017-10-01,FinanceCompanies,,
2017-11-01,FinanceCompanies,,
2017-12-01,FinanceCompanies,,
2018-01-01,FinanceCompanies,,
2018-02-01,FinanceCompanies,,
2018-03-01,FinanceCompanies,,
2018-04-01,FinanceCompanies,,
2018-05-01,FinanceCompanies,,
2018-06-01,FinanceCompanies,,
2018-07-01,FinanceCompanies,,
2018-08-01,FinanceCompanies,,
2018-09-01,FinanceCompanies,,
2018-10-01,FinanceCompanies,,
2018-11-01,FinanceCompanies,,
2018-12-01,FinanceCompanies,,
2019-01-01,FinanceCompanies,,
2019-02-01,FinanceCompanies,,
2019-03-01,FinanceCompanies,,
2019-04-01,FinanceCompanies,,
2019-05-01,FinanceCompanies,,
2019-06-01,FinanceCompanies,,
2019-07-01,FinanceCompanies,,
2019-08-01,FinanceCompanies,,
2019-09-01,FinanceCompanies,,
2019-10-01,FinanceCompanies,,
2019-11-01,FinanceCompanies,,
2019-12-01,FinanceCompanies,,
2006-01-01,FinancialInstitutions,,
2006-02-01,FinancialInstitutions,,
2006-03-01,FinancialInstitutions,,
2006-04-01,FinancialInstitutions,,
2006-05-01,FinancialInstitutions,,
2006-06-01,FinancialInstitutions,,
2006-07-01,FinancialInstitutions,,
2006-08-01,FinancialInstitutions,,
2006-09-01,FinancialInstitutions,,
2006-10-01,FinancialInstitutions,,
2006-11-01,FinancialInstitutions,,
2006-12-01,FinancialInstitutions,236402,0.0412
2007-01-01,FinancialInstitutions,,
2007-02-01,FinancialInstitutions,,
2007-03-01,FinancialInstitutions,240023,0.0417
2007-04-01,FinancialInstitutions,,
2007-05-01,FinancialInstitutions,,
2007-06-01,FinancialInstitutions,254346,0.044
2007-07-01,FinancialInstitutions,,
2007-08-01,FinancialInstitutions,,
2007-09-01,FinancialInstitutions,260440,0.0443
2007-10-01,FinancialInstitutions,,
2007-11-01,FinancialInstitutions,,
2007-12-01,FinancialInstitutions,237695,0.0395
2008-01-01,FinancialInstitutions,,
2008-02-01,FinancialInstitutions,,
2008-03-01,FinancialInstitutions,249416,0.0375
2008-04-01,FinancialInstitutions,,
2008-05-01,FinancialInstitutions,,
2008-06-01,FinancialInstitutions,231895,0.0343
2008-07-01,FinancialInstitutions,,
2008-08-01,FinancialInstitutions,,
2008-09-01,FinancialInstitutions,229763,0.0329
2008-10-01,FinancialInstitutions,,
2008-11-01,FinancialInstitutions,,
2008-12-01,FinancialInstitutions,217239,0.0293
2009-01-01,FinancialInstitutions,,
2009-02-01,FinancialInstitutions,,
2009-03-01,FinancialInstitutions,230153,0.031
2009-04-01,FinancialInstitutions,,
2009-05-01,FinancialInstitutions,,
2009-06-01,FinancialInstitutions,224413,0.0306
2009-07-01,FinancialInstitutions,,
2009-08-01,FinancialInstitutions,,
2009-09-01,FinancialInstitutions,218276,0.0295
2009-10-01,FinancialInstitutions,,
2009-11-01,FinancialInstitutions,,
2009-12-01,FinancialInstitutions,205057,0.0268
2010-01-01,FinancialInstitutions,,
2010-02-01,FinancialInstitutions,,
2010-03-01,FinancialInstitutions,,
2010-04-01,FinancialInstitutions,,
2010-05-01,FinancialInstitutions,,
2010-06-01,FinancialInstitutions,,
2010-07-01,FinancialInstitutions,,
2010-08-01,FinancialInstitutions,,
2010-09-01,FinancialInstitutions,,
2010-10-01,FinancialInstitutions,,
2010-11-01,FinancialInstitutions,,
2010-12-01,FinancialInstitutions,,
2011-01-01,FinancialInstitutions,,
2011-02-01,FinancialInstitutions,,
2011-03-01,FinancialInstitutions,,
2011-04-01,FinancialInstitutions,,
2011-05-01,FinancialInstitutions,,
2011-06-01,FinancialInstitutions,,
2011-07-01,FinancialInstitutions,,
2011-08-01,FinancialInstitutions,,
2011-09-01,FinancialInstitutions,,
